transaction_id,account_id,transaction_type,amount,transaction_date
TRX0000001,ACC0001673,Deposit,6675.7,2020-08-26
TRX0000002,ACC0001659,Withdrawal,3774.92,2019-05-04
TRX0000003,ACC0001720,Withdrawal,22953.59,2022-06-29
TRX0000004,ACC0000798,Deposit,1780.35,2020-06-12
TRX0000005,ACC0001535,Deposit,9716.1,2024-09-28
TRX0000006,ACC0002394,Deposit,9583.65,2018-07-28
TRX0000007,ACC0002694,Withdrawal,22334.94,2019-11-30
TRX0000008,ACC0002138,Transfer,38838.58,2021-08-30
TRX0000009,ACC0002885,Transfer,17439.86,2021-12-06
TRX0000010,ACC0000359,Transfer,40569.39,2018-02-15
TRX0000011,ACC0002010,Withdrawal,24142.32,2020-05-26
TRX0000012,ACC0000982,Deposit,39766.35,2021-03-03
TRX0000013,ACC0002561,Withdrawal,10115.68,2021-11-26
TRX0000014,ACC0000415,Deposit,25292.44,2024-01-13
TRX0000015,ACC0000091,Deposit,117.66,2024-05-03
TRX0000016,ACC0000904,Withdrawal,21785.54,2018-07-21
TRX0000017,ACC0000982,Transfer,22273.81,2021-01-15
TRX0000018,ACC0001428,Payment,8782.02,2023-10-09
TRX0000019,ACC0001567,Withdrawal,35582.63,2020-06-01
TRX0000020,ACC0002322,Transfer,6472.75,2024-04-12
TRX0000021,ACC0001183,Withdrawal,5713.81,2021-01-17
TRX0000022,ACC0002082,Withdrawal,17446.64,2023-09-20
TRX0000023,ACC0000678,Transfer,36707.69,2022-10-14
TRX0000024,ACC0001953,Withdrawal,21415.11,2018-11-09
TRX0000025,ACC0000785,Payment,14218.27,2024-09-13
TRX0000026,ACC0000891,Transfer,37622.24,2020-04-12
TRX0000027,ACC0000732,Transfer,23314.62,2019-03-25
TRX0000028,ACC0002854,Withdrawal,24567.01,2022-01-28
TRX0000029,ACC0000273,Withdrawal,18665.01,2024-08-16
TRX0000030,ACC0001307,Deposit,26705.29,2018-02-27
TRX0000031,ACC0001314,Transfer,38707.27,2018-04-22
TRX0000032,ACC0002039,Payment,39705.12,2018-01-22
TRX0000033,ACC0001536,Payment,36661.07,2024-11-04
TRX0000034,ACC0002295,Deposit,2530.56,2021-10-10
TRX0000035,ACC0002931,Payment,23982.05,2018-07-25
TRX0000036,ACC0001436,Transfer,25433.34,2019-05-05
TRX0000037,ACC0001931,Payment,4098.07,2024-05-07
TRX0000038,ACC0000540,Payment,46741.05,2023-01-18
TRX0000039,ACC0002694,Transfer,23596.01,2022-10-05
TRX0000040,ACC0000074,Transfer,6050.58,2018-10-14
TRX0000041,ACC0002884,Transfer,28797.83,2020-03-20
TRX0000042,ACC0000340,Payment,25537.11,2018-10-28
TRX0000043,ACC0002622,Deposit,40101.04,2023-06-14
TRX0000044,ACC0000267,Deposit,7487.62,2021-12-17
TRX0000045,ACC0002820,Deposit,17774.85,2018-08-04
TRX0000046,ACC0000354,Payment,19164.68,2018-02-03
TRX0000047,ACC0000812,Payment,24762.52,2018-04-11
TRX0000048,ACC0002629,Transfer,25618.28,2023-07-04
TRX0000049,ACC0002705,Withdrawal,21428.5,2019-01-05
TRX0000050,ACC0001493,Deposit,43493.19,2020-11-06
